反照率 Albedo
G箱防水布01阴影 GCrateTarp01Shadow
G沙质方形岩石巨型01阴影LOD2 GSandySquareRockMassive01ShadowLod2
G弹匣 GMagazine
G虫族羊肚菌集群01阴影LOD1 GBugMorelCluster01ShadowLod1
GCy工厂烟囱碎片 GCyFactoryChimneyDebris
底部渐变最小 BottomGradMin
G就绪架LOD1 GReadyRackLod1
G殖民地建筑大型01B阴影 GColonyBuildingLarge01BShadow
StrategemSeDest02Cg StrategemSeDest02Cg
G喷火器手枪阴影LOD2 GFlamerPistolShadowLod2
GSe轨道炮阴影LOD1 GSeOrbitalCannonShadowLod1
殖民地建筑小型01 ColonyBuildingSmall01
G岩石山01阴影LOD1 GRockyMountain01ShadowLod1
生成器灯02 GeneratorLamp02
六边形09 Hex09
GCy枪管01LOD2 GCyBarrel01Lod2
G岩石英雄柱01LOD1 GRockHeroPillar01Lod1
虫族巢穴墙中型 BugHiveWallMedium
G箱052堆叠阴影LOD2 GBox052stackShadowLod2
GSawLod5 GSawLod5
TiltDirection TiltDirection
G半机械人冷却结构LOD2 GCyborgCoolingStructureLod2
AttachTanks AttachTanks
R索引手指3 RIndexFinger3
GIl电池机器堆01LOD1 GIlBatteryMachinePile01Lod1
自发光菲涅耳最小 EmissiveFresnelMin
BulbSurface4 BulbSurface4
G通用碎片小型09LOD1 GGenericDebrisSmall09Lod1
自发光4 Emissive4
GBugPrisonWallStraight GBugPrisonWallStraight
G通用碎片组英雄01 GGenericDebrisSetHero01
G超级地面缓存盖LOD4 GSuperEarthCacheLidLod4
G沼泽英雄树闹鬼大型阴影LOD1 GSwampHeroTreeHauntedLargeShadowLod1
M腿部装甲 MLegsArmor
AttackLeftExecute AttackLeftExecute
锤 Hammer
MIlChampionShield MIlChampionShield
G光学高幂瞄准镜LOD1 GOpticsHighpowerScopeLod1
G广告牌杆小型01阴影LOD2 GBillboardPoleSmall01ShadowLod2
MLegsPants MLegsPants
虫族尸体血肉堆02 BugCorpseGorePile02
GHabs箱中型012堆叠碎片03 GHabsCrateMedium012stackDebris03
G城市车辆废墟碎石05LOD1 GCityCarRubble05Lod1
G游戏切片02LOD3 GGameSlice02Lod3
活塞基础R PistonBaseR
G机库箱小型01LOD1 GHangarCrateSmall01Lod1
RAbdomenStingerSlot2 RAbdomenStingerSlot2
虫族黏液枕头02 BugGoopPillow02
GBullseyeSignLod2 GBullseyeSignLod2
G废墟掩体直线2m02LOD5 GRuinCoverStraight2m02Lod5
G火箭LOD5 GRocketLod5
旗帜06 Flag06
ProngArmRight01 ProngArmRight01
装填完成 ReloadDone
G集群破片手雷阴影LOD2 GClusterFragGrenadeShadowLod2
G极地岩石通用大型03 GArcticRockGenericLarge03
G半机械人生成器工厂LOD3 GCyborgSpawnerFactoryLod3
LForelegElbowCull LForelegElbowCull
G手臂R阴影 GArmRShadow
GCargoContainer GCargoContainer
GStoreScreenLargeShadowLod1 GStoreScreenLargeShadowLod1
脖颈01 Neck01
GMuzzle5mmNaked GMuzzle5mmNaked
GHabs平板02阴影LOD2 GHabsTablet02ShadowLod2
G殖民地墙柱01 GColonyWallPillar01
RoboticArm01 RoboticArm01
G岩石山03LOD5 GRockyMountain03Lod5
GIl电缆001LOD2 GIlCables001Lod2
GCorpsesOldLying04SkeletonLod2 GCorpsesOldLying04SkeletonLod2
C瞄准镜 CScope
G根部膝盖02阴影LOD1 GRootknee02ShadowLod1
GSeSignDoNotEnter01Debris01 GSeSignDoNotEnter01Debris01
G导航3 GNavigation3
GIl电缆008LOD5 GIlCables008Lod5
G半机械人炮塔高LOD3 GCyborgTurretTallLod3
G地狱舱优化已着陆LOD3 GHellpodOptimizedLandedLod3
G平台套件方形4x阴影 GPlatformKitSquare4xShadow
G容器02 GContainer02
CAxe CAxe
C天气叶片8 CWeatherVane8
G微型导弹发射井LOD1 GMiniMissileSiloLod1
G虫族岩石平面01 GBugRockFlat01
G垃圾袋01阴影 GTrashbag01Shadow
气体坦克L完整 GastankLWhole
Arm3Link1 Arm3Link1
GSeColonyRubbleSlab02Shadow GSeColonyRubbleSlab02Shadow
光照13 Light13
腐蚀飞镖 CausticDart
Habs箱中型012堆叠 HabsCrateMedium012stack
R翼1 RWing1
GHabs通风墙010LOD3 GHabsVentilationWall010Lod3
GSe驱逐舰灯光 GSeDestroyerLights
G部件03 GPiece03
GSe碉堡墙60LOD2 GSePillboxWall60Lod2
L腿护盾 LLegShield
GIl掩体墙01LOD2 GIlCoverWall01Lod2
ColonyFireHydrant01 ColonyFireHydrant01
G特大天线LOD1 GXlAntennaLod1
可受损舱门 DamageableHatch
G墓碑01LOD1 GHeadstone01Lod1
日志中型02 LogMedium02
GXlPipeElectricalGrid01Lod3 GXlPipeElectricalGrid01Lod3
G树巢01LOD4 GTreeNest01Lod4
G荒原松树02碎肉8 GMoorPinetree02Gibs8
CRAnkleMesh CRAnkleMesh
GTutorialCapeRoomFloor01 GTutorialCapeRoomFloor01
外壳04缩放 Shell04Scale
装甲躯干 ArmorTorso
G废墟掩体直线2m04阴影LOD1 GRuinCoverStraight2m04ShadowLod1
FireStop FireStop
GCy枪管01碎片08 GCyBarrel01Debris08
CheerExit CheerExit
G虫族尸体战士02阴影LOD2 GBugCorpseWarrior02ShadowLod2
G岩石巨大07阴影 GRockHuge07Shadow
GHabs地面坦克01碎片04 GHabsGroundTank01Debris04
G殖民地天线大型01LOD1 GColonyAntennaBig01Lod1
根部膝盖01 Rootknee01
M油软管连接 MOilHoseConnection
腰带07 Belt07
BellyEntrails21 BellyEntrails21
GSe中型墙墙顶部完整LOD2 GSeWallmedWallTopFullLod2
G罐装食物中型01阴影LOD1 GCannedFoodMedium01ShadowLod1
GSe中型墙墙完整LOD2 GSeWallmedWallFullLod2
G虫族岩石柱03阴影 GBugRockPillar03Shadow
M轨道 MRails
肩部左树桩 ShoulderLeftStump
后腿3L BackLeg3L
GEmptyPaperStackLowLod2 GEmptyPaperStackLowLod2
GAssaultRifleLargeCalibre01Lod4 GAssaultRifleLargeCalibre01Lod4
G岩石岩屑01阴影 GRockyTalus01Shadow
G掩体缓存阴影LOD2 GBunkerCacheShadowLod2
G半机械人投放舰已摧毁02阴影LOD1 GCyborgDropshipDestroyed02ShadowLod1
TextureMap657f1762 TextureMap657f1762
CCollisionProne CCollisionProne
G迫击炮炮塔残骸阴影 GMortarTurretWreckShadow
M极地岩石巨型01 MArcticRockMassive01
生成器 Spawner
G垃圾桶01 GTrashbin01
CargoAttach CargoAttach
C废墟碎石导航 CRubbleNavigation
G巢穴领主R下颌 GHiveLordRMandible
OrderForward OrderForward
C天气叶片高32 CWeatherVaneTall32
G岩石大型03LOD5 GRockLarge03Lod5
G森林树02碎肉03 GForestTree02Gibs03
M虫族黏液枕头03 MBugGoopPillow03
GObstacleCourseCrawlShadow GObstacleCourseCrawlShadow
StateEngaged StateEngaged
沼泽英雄树闹鬼大型 SwampHeroTreeHauntedLarge
战略配备发射器完整 StratagemLauncherWhole
G战略配备垫LOD1 GStratagemPadLod1
G轮胎堆叠02LOD3 GTireStack02Lod3
舱7m Bay7m
GBugCorpseScavenger01Shadow GBugCorpseScavenger01Shadow
RForelegElbowCull RForelegElbowCull
GIl遭遇舰船已着陆废墟碎石LOD2 GIlEncounterShipLandedRubbleLod2
G闸门02阴影LOD1 GGate02ShadowLod1
GHabs墙天气3m01LOD2 GHabsWallWeather3m01Lod2
NoShake NoShake
G骨骼生物05LOD1 GBoneCreature05Lod1
AssaultRifleLargeCalibreMagStandard AssaultRifleLargeCalibreMagStandard
远端淡出不透明度01 FarFadeOpacity01
C子弹02 CBullet02
VigilanceMagazineStandard VigilanceMagazineStandard
FireAutopistol FireAutopistol
M海报宣传05 MPosterPropaganda05
G迫击炮炮塔LOD4 GMortarTurretLod4
FiremodeSwitchL FiremodeSwitchL
GSe驱逐舰LOD5 GSeDestroyerLod5
GIl雕像中型破损03阴影LOD1 GIlStatueMediumBroken03ShadowLod1
G轻机枪箱大型阴影LOD1 GLmgBoxLargeShadowLod1
M躯干内衣 MTorsoUndergarment
G飞机15 GPlane15
GSuperCreditLod5 GSuperCreditLod5
C轨道右 CTrackRight
弹药架 AmmoRack
CSe殖民地路缘直线17m CSeColonyCurbStraight17m
StampCirclesData1 StampCirclesData1
螺栓04 Bolt04
GBlueCorpToolRack01 GBlueCorpToolRack01
RagdollPowered4 RagdollPowered4
GHabs尸体01LOD3 GHabsCorpse01Lod3
G岩石中型01LOD4 GRockMedium01Lod4
G城市车辆废墟碎石02LOD3 GCityCarRubble02Lod3
G城市车辆04LOD1 GCityCar04Lod1
G沙袋堆02阴影LOD1 GSandbagPile02ShadowLod1
SeCityAdboardAsset400x40001c SeCityAdboardAsset400x40001c
G虫族生成器中型01阴影LOD1 GBugSpawnerMedium01ShadowLod1
殖民地建筑大型01B ColonyBuildingLarge01B
GBanner03SkullsShadowLod1 GBanner03SkullsShadowLod1
机枪右出口 MgRightExit
G幂基地群体01碎片04 GPowerStationHorde01Debris04
M喷火器 MFlamethrower
G容器08LOD5 GContainer08Lod5
G横幅01LOD4 GBanner01Lod4
G通用碎片中型011 GGenericDebrisMedium011
G极地岩石通用中型02阴影LOD1 GArcticRockGenericMedium02ShadowLod1
G爪LOD2 GClawLod2
GBureauTerminalsLod1 GBureauTerminalsLod1
TrHatchDestroyed TrHatchDestroyed
GPatiochairSmall01ShadowLod2 GPatiochairSmall01ShadowLod2
附加光照2 AttachLight2
G通用碎片中型04LOD2 GGenericDebrisMedium04Lod2
炮塔俯仰 TurretPitch
鹰式枪舱 EagleGunPods
翻转底部光 FlipUnderlight
G冰柱石笋04LOD2 GIcicleStalagmites04Lod2
G殖民地标志01碎片03 GColonySign01Debris03
MedicalBayStool01 MedicalBayStool01
抖动11 Jiggle11
近战右 MeleeRight
重型机枪 HeavyMg
L拇指手指2 LThumbFinger2
R脚内部脚趾 RFootInnerToe
G绝地机械超级样本01LOD4 GAutomatonSuperSample01Lod4
G殖民地建筑中型03BLOD3 GColonyBuildingMedium03BLod3
俯仰Cg PitchCg
G容器05阴影 GContainer05Shadow
G殖民地建筑大型01BLOD1 GColonyBuildingLarge01BLod1
Muzzle8mmCompensator Muzzle8mmCompensator
L肩部活塞1开始 LShoulderPiston1Start
MCoolingServer MCoolingServer
G门阴影LOD1 GDoorShadowLod1
G搜索光照空气大型阴影 GSearchLightAirLargeShadow
G小型光照01LOD1 GSmallLight01Lod1
M绝地机械样本01 MAutomatonSample01
G战斗步行机残骸阴影 GCombatWalkerWreckShadow
G半机械人管线环LOD5 GCyborgPipelineRingLod5
GSeSignNoentry02Debris02 GSeSignNoentry02Debris02
G混凝土障碍02阴影LOD1 GConcreteBarrier02ShadowLod1
炮L01Se目标02 CannonL01SeDest02
G电缆04 GCable04
扭曲平铺XY DistortionTileXY
GBugEggSuperSample01Lod2 GBugEggSuperSample01Lod2
GCyborgTankTurretAutocannonsDestroyed01Lod4 GCyborgTankTurretAutocannonsDestroyed01Lod4
手臂左受损 ArmLeftDamaged
G半机械人投放舰已着陆02 GCyborgDropshipLanded02
半机械人投放舰已摧毁02 CyborgDropshipDestroyed02
G手臂L阴影 GArmLShadow
G征召兵尸体02LOD5 GConscriptCorpse02Lod5
LBLowerWishbone LBLowerWishbone
MCy地雷01 MCyMine01
内部遮罩 InnerMask
TextureMapDbf88d8b TextureMapDbf88d8b
BoltLever BoltLever
StampRectanglesData1 StampRectanglesData1
L钳制51 LClamp51
循环基础 LoopBase
G通用碎片组填充大型02LOD5 GGenericDebrisSetFillerLrg02Lod5
G虫族巢穴墙小型LOD5 GBugHiveWallSmallLod5
Cy轨道炮碎片12 CyOrbitalCannonDebris12
M链式围栏带刺铁丝 MChainfenceBarbwire
Il电缆007 IlCables007
GSe殖民地路缘直线4m02LOD1 GSeColonyCurbStraight4m02Lod1
G地雷LOD3 GMineLod3
PosterMinistryExpansion01 PosterMinistryExpansion01
G虫族雾生成器 GBugFogGenerator
LHindlegWristCull LHindlegWristCull
BridgeWindows BridgeWindows
G搜索光照空气大型LOD2 GSearchLightAirLargeLod2
AutomaticCannonBackpack01 AutomaticCannonBackpack01
耀斑不透明度 FlareOpacity
目标高度 TargetHeight
AimBlocked AimBlocked
牙齿01 Tooth01
GIas受损LOD5 GIasDamagedLod5
技术样本01 TechSample01
UpperButtEntrails21 UpperButtEntrails21
L前引擎俯仰 LFrontEnginePitch
28x16001切片03 28x16001Slice03
GSe轰炸机已摧毁右翼LOD4 GSeBomberDestroyedRightWingLod4
R髋部 RHip
CFrSuspDown CFrSuspDown
GTrackingSolarPanel01 GTrackingSolarPanel01
G虫族尸体战士04LOD4 GBugCorpseWarrior04Lod4
G半机械人坦克已摧毁01LOD1 GCyborgTankDestroyed01Lod1
C真理发射器塔屏幕04 CTruthTransmitterTowerScreen04
M披风分配器地狱潜兵 MCapeDispenserHelldiver
G殖民地标志01碎片09 GColonySign01Debris09
G半机械人精英女性 GCyborgEliteFemale
R后角翼片2 RBackCornerflap2
特效重击器冲击 FxThumperImpact
火箭18 Rocket18
GreenCorpBiosphere01Debris09 GreenCorpBiosphere01Debris09
G手雷箱标记 GGrenadeBoxMarker
额外屏幕08 ExtraScreen08
GCy起重机01碎片10 GCyCrane01Debris10
GAa炮塔阴影LOD3 GAaTurretShadowLod3
左腿遮罩 LeftLegMask
GBriefcaseShadowLod1 GBriefcaseShadowLod1
G殖民地墙分段2m501LOD1 GColonyWallSegment2m501Lod1
GSePlaygroundSpringRocker01Lod3 GSePlaygroundSpringRocker01Lod3
G树桩大型01 GStumpLarge01
G沙质方形岩石中型03阴影LOD2 GSandySquareRockMedium03ShadowLod2
GSe枪管012xLOD5 GSeBarrel012xLod5
M树桩大型01 MStumpLarge01
标志宣传01 SignPropaganda01
GCyborgSpawnerJammer GCyborgSpawnerJammer
后舱门下部 BackHatchLower
色调02乘数 Tint02Mult
G日志大型02LOD2 GLogLarge02Lod2
L后腿膝盖后护盾 LBackLegKneeBackShield
SandyGasFlowerPod01 SandyGasFlowerPod01
M海报宣传04 MPosterPropaganda04
GSe链式围栏柱LOD2 GSeChainfencePillarLod2
M受损 MDamaged
G掩体缓存 GBunkerCache
G岩石柱01 GRockPillar01
G游戏网格切片02LOD2 GGameMeshSlice02Lod2
L后腿脚趾后 LBackLegToeBack
G武器箱关闭01LOD3 GWeaponcrateClosed01Lod3
GIl尸体堆01LOD1 GIlCorpsePile01Lod1
装填左轮单手 ReloadRevolverOnehand
C箱体032x2 CCase032x2
G虫族容器LOD2 GBugContainerLod2
G气体地雷LOD1 GGasMineLod1
LThrusterNoseRear LThrusterNoseRear
M黑色箱 MBlackBox
GHabs栏杆角落阴影LOD2 GHabsRailingCornerShadowLod2
G岩石废墟碎石04 GRockRubble04
GMarksmanRifleJustice GMarksmanRifleJustice
声纳扫描强度 SonarScanIntensity
G半机械人冷却管道小型附件01LOD1 GCyborgCoolingPipeSmallAttachment01Lod1
GGreenCorpBiosphere02 GGreenCorpBiosphere02
装填关闭 ReloadClose
GIl电缆002阴影LOD2 GIlCables002ShadowLod2
16x16001切片03 16x16001Slice03
G装甲LOD2 GArmorLod2
GRadarWagonLod2 GRadarWagonLod2
G岩石岩石中型01LOD3 GRockyRockMedium01Lod3
G殖民地管道预制件01阴影2 GColonyPipesPrefab01Shadow2
GHabs灯墙01阴影LOD1 GHabsLampWall01ShadowLod1
G游戏切片01LOD2 GGameSlice01Lod2
教学死亡战壕墙02 TutorialDeathTrenchWall02
M横幅01 MBanner01
R脚外部支撑 RFootOuterSupport
VectorThrusterFrontMuzzles VectorThrusterFrontMuzzles
Pdw鼓弹匣 PdwDrumMagazine
G地面舱门LOD1 GGroundHatchLod1
G殖民地栏杆角落无护板LOD1 GColonyRailingCornerNoplateLod1
G城市车辆03阴影 GCityCar03Shadow
GChassiShadowLod1 GChassiShadowLod1
G虫族尸体战士身体 GBugCorpseWarriorBody
G岩石大型04 GRockLarge04
GCy木桶1x2阴影LOD2 GCyBarrels1x2ShadowLod2
C废墟碎石20 CRubble20
ButtHurt ButtHurt
骨骼生物06 BoneCreature06
M标志手雷虫族 MSignGrenadeBug
GRecieverShadowLod1 GRecieverShadowLod1
Yellow Yellow
打开门 OpenDoors
管线结束 PipelineEnd
PumpShotgunSlug PumpShotgunSlug
GCy网络塔碎片3 GCyNetworkTowerDebris3
G岩石柱03LOD1 GRockPillar03Lod1
M士兵背包重机枪 MSoldierBackpackHmg
管线直线 PipelineStraight
机库终端支架01 HangarTerminalStand01
CR腿网格 CRLegMesh
G岩石柱06阴影 GRockPillar06Shadow
弹药检查激光步枪 AmmocheckLaserrifle
GRockBalancing01Shadow GRockBalancing01Shadow
手雷箱可发现01 GrenadeBoxDiscoverable01
MEyelashes MEyelashes
ActionChargeBreak ActionChargeBreak
通用碎片中型010 GenericDebrisMedium010
G半机械人有机组件地点基础废墟碎石LOD5 GCyborgOrganicAssemblySiteBaseRubbleLod5
GHabs楼梯屋顶出口01LOD4 GHabsStairsRoofExit01Lod4
M树桩巨大01 MStumpHuge01
脚R FootR
G士兵尸体01LOD4 GSoldierCorpse01Lod4
G交互垫 GInteractPad
G半机械人炮艇生成器LOD5 GCyborgGunshipSpawnerLod5
箱防水布01 CrateTarp01
G大型箱011x2阴影LOD2 GLargeCrate011x2ShadowLod2
G逃逸舱热护盾LOD1 GEscapePodHeatshieldLod1
DeathHeadshot DeathHeadshot
GC4ChargeDetonatorShadow GC4ChargeDetonatorShadow
GColonyRoofTrimPipes01Lod1 GColonyRoofTrimPipes01Lod1
G战壕墙中型3m135度01LOD2 GTrenchWallMedium3m135degree01Lod2
StratagemCallExit StratagemCallExit
G装甲LOD3 GArmorLod3
G管线曲线阴影LOD1 GPipelineCurveShadowLod1
C尸体旧躺卧04 CCorpsesOldLying04
M连接残骸轨道 MConnectionWreckTrack
G掩体缓存LOD1 GBunkerCacheLod1
G森林山01LOD5 GForestMountain01Lod5
G柜台角落01LOD1 GCounterCorner01Lod1
G废墟掩体直线2m03LOD2 GRuinCoverStraight2m03Lod2
RHardpointYaw RHardpointYaw
虫族网08 BugWeb08
殖民地建筑中型03B ColonyBuildingMedium03B
GHabs箱啤酒小型01LOD1 GHabsCrateBeerSmall01Lod1
G殖民地花盆2m01LOD2 GColonyPlanter2m01Lod2
G小型管道连接阴影LOD1 GSmallPipesConnectionShadowLod1
MHelldiverEmblem01 MHelldiverEmblem01
G飞机09 GPlane09
管道04 Pipe04
交互1 Interact1
GCy资源发射井01LOD2 GCyResourceSilo01Lod2
C天气叶片高38 CWeatherVaneTall38
CR脚网格 CRFootMesh
G小型光照01LOD2 GSmallLight01Lod2
G墙柱阴影LOD1 GWallPillarShadowLod1
G标志生成器01LOD3 GSignSpawner01Lod3
G岩石巨大03LOD5 GRockHuge03Lod5
GSe轰炸机已摧毁主身体LOD5 GSeBomberDestroyedMainBodyLod5
G损坏V1LOD5 GCorruptedV1Lod5
GIl平台楼梯左6rLOD3 GIlPlatformStairsLeft6rLod3
G杆LOD3 GPoleLod3
G鲸骨骼02LOD3 GWhaleBone02Lod3
纹理01通道 Tex01Channel
GHabs通风墙03阴影LOD1 GHabsVentilationWall03ShadowLod1
虫族岩石中型03 BugRockMedium03
LBackwheelRotation LBackwheelRotation
CIl柱缓冲小型 CIlPillarBufferSmall
MagsL02Scale MagsL02Scale
MagsL04Scale MagsL04Scale
M岩石柱01 MRockyPillar01
MRockCliffFace01 MRockCliffFace01
G殖民地墙分段4m01阴影 GColonyWallSegment4m01Shadow
半机械人炮塔高 CyborgTurretTall
ActiveDone ActiveDone
G根部大型02阴影LOD2 GRootLarge02ShadowLod2
GIl电缆009阴影LOD2 GIlCables009ShadowLod2
GLieutenantJetpackShadowLod2 GLieutenantJetpackShadowLod2
R后方腿1剔除 RRearLeg1Cull
GIl掩体墙03LOD3 GIlCoverWall03Lod3
FxLThrusterNoseFront FxLThrusterNoseFront
GSeaf头盔01 GSeafHelmet01
已摧毁完成 DestroyedDone
G骨骼生物02LOD2 GBoneCreature02Lod2
BodySplit BodySplit
GSe殖民地小型04 GSeColonySmall04
GSe中型墙柱完整LOD5 GSeWallmedPillarFullLod5
速度纹理01 SpeedTex01
GSe驱逐舰支撑炮导弹发射器阴影LOD1 GSeDestroyerSupportcannonMissileLauncherShadowLod1
DrumShell1Breach DrumShell1Breach
G箱防水布04LOD2 GCrateTarp04Lod2
G枪管01LOD3 GBarrel01Lod3
M腿部髋部套件 MLegsHipsKit
G剔除 GCulling
GCy栅栏3x碎片09 GCyFence3xDebris09
GIl废墟方块屋顶 GIlRuinBlockRoof
扫描线02速度 Scanline02Speed
TalkDismissive TalkDismissive
GCyborgCoolingPipePressureDisplayShadowLod1 GCyborgCoolingPipePressureDisplayShadowLod1
ReloadBattlerifle ReloadBattlerifle
G轮胎堆叠05阴影LOD2 GTireStack05ShadowLod2
GCy障碍栅栏01阴影LOD3 GCyBarrierFence01ShadowLod3
抖动28 Jiggle28
MArmsarmor MArmsarmor
光照开始 LightStart
LClavicle LClavicle
G极地岩石通用大型03LOD4 GArcticRockGenericLarge03Lod4
C碰撞011 CCollision011
G沙质岩石酸巨型01LOD3 GSandyRockAcidMassive01Lod3
穿梭机炮艇 ShuttleGunship
FPS生命周期指数 FpsLifetimeExp
正弦次级速度 SineSecondarySpeed
ShuttleEnterIntro ShuttleEnterIntro
G通信塔废墟碎石01LOD4 GCommunicationTowerRubble01Lod4
G躯干套件男性阴影 GTorsoKitMaleShadow
G碎片24 GDebris24
G城市车辆废墟碎石01阴影 GCityCarRubble01Shadow
G横幅03LOD4 GBanner03Lod4
G弹匣大型阴影 GMagLargeShadow
GRecieverShadowLod3 GRecieverShadowLod3
GAssaultRifleKarbinShadow GAssaultRifleKarbinShadow
G沼泽英雄树闹鬼大型LOD5 GSwampHeroTreeHauntedLargeLod5
G冰冰柱03阴影LOD2 GIceIcicle03ShadowLod2
平移使用生命周期 PanUseLifetime
GCy网络塔LOD4 GCyNetworkTowerLod4
GCy火炮外壳堆叠01LOD1 GCyArtilleryShellStack01Lod1
G弹匣大型阴影LOD3 GMagLargeShadowLod3
C箱01 CBox01
FlangeLBot FlangeLBot
G腿部髋部男性LOD1 GLegsHipsMaleLod1
嘲讽结束 TauntEnd
GHabs平台05阴影 GHabsPlatform05Shadow
G废墟掩体直线3m02LOD4 GRuinCoverStraight3m02Lod4
GSawLod4 GSawLod4
Se轰炸机已摧毁炮塔身体02 SeBomberDestroyedTurretBody02
M腿部 MLegs
G箱04LOD3 GBox04Lod3
G特大肘部90向下锐度01 GXlElbow90DownSharp01
战斗步行机出口 CombatWalkerExit
G腐蚀飞镖阴影 GCausticDartShadow
GHellbombShadowLod1 GHellbombShadowLod1
AttachVictimMouth AttachVictimMouth
Il生成器废墟碎石阴影 IlSpawnerRubbleShadow
G火箭阴影LOD2 GRocketShadowLod2
C碰撞76 CCollision76
GSe旗帜仪式01阴影LOD2 GSeFlagCeremonial01ShadowLod2
G搜索光照空气阴影 GSearchLightAirShadow
GMuzzle12gHalfChokeLod1 GMuzzle12gHalfChokeLod1
C天气叶片5 CWeatherVane5
GIl坡道阴影LOD2 GIlRampShadowLod2
霰弹枪纳乔 ShotgunNacho
G横幅03废墟碎石 GBanner03Rubble
MRockCliffFace02 MRockCliffFace02
C生成器06 CGenerator06
G殖民地建筑小型01LOD2 GColonyBuildingSmall01Lod2
GHabs平台3x3LOD3 GHabsPlatform3x3Lod3
NoAnim NoAnim
GIl楼梯曲面LOD3 GIlStairsCurvedLod3
门02 Door02
DrawRecoilless DrawRecoilless
Grp腿部髋部内衣男性 GrpLegsHipsUndergarmentMale
R前翼31 RFrontWing31
L前引擎 LFrontEngine
SpinDone SpinDone
G管道堆01碎片03 GPipesPile01Debris03
结束动作 EndAction
携带旗帜 CarryFlag
GBlueCorpGunLocker01Lod3 GBlueCorpGunLocker01Lod3
G喷火器LOD5 GFlamerLod5
G废墟掩体直线2m02阴影LOD2 GRuinCoverStraight2m02ShadowLod2
顶部掩体 TopCover
G枪套阴影 GHolsterShadow
Frv出口后左 FrvExitBackLeft
AutomaticCannonBackpack AutomaticCannonBackpack
G游戏切片03 GGameSlice03
GBlueCorpGunLocker01Lod1 GBlueCorpGunLocker01Lod1
G海报标志 GPosterSign
G废墟碎石切片03LOD2 GRubbleSlice03Lod2
G箱体01 GCase01
G虫族网08LOD1 GBugWeb08Lod1
C箱体03 CCase03
L手臂1 LArm1
G废墟废料堆角落5m01阴影LOD1 GRuinScrapHeapCorner5m01ShadowLod1
闪烁速度02 FlickerSpeed02
G平台LOD1 GPlatformLod1
GIl电缆006阴影LOD2 GIlCables006ShadowLod2
主锥体方向淡出角度 MainConeDirectionFadeAngle
G森林树02碎肉02 GForestTree02Gibs02
GHabs通风屋顶01 GHabsVentilationRoof01
G虫族岩石中型01LOD3 GBugRockMedium01Lod3
Fan Fan
G光照杆01碎片1 GLightPole01Debris1
PipesSinglepipe01 PipesSinglepipe01
G废墟碎片角落1m01 GRuinDebrisCorner1m01
C碎片3 CDebris3
GHabs栅栏乡村01LOD2 GHabsFenceRural01Lod2
G树桩中型01阴影LOD1 GStumpMedium01ShadowLod1
LFrontSideflapHydralikTop LFrontSideflapHydralikTop
G腐蚀飞镖LOD3 GCausticDartLod3
GCy弹药箱大型堆叠02 GCyAmmocrateBigStack02
C前腿1R CFrontLeg1R
G坡道LOD3 GRampLod3
喷气步枪鼓弹匣大型 JetRifleDrumMagazineLarge
G平台套件墙4m4m02阴影 GPlatformKitWall4m4m02Shadow
六边形15 Hex15
L后腿髋部瞄准 LBackLegHipAim
L拇指3 LThumb3
护盾锁06 ShieldLock06
GIl掩体墙结束02LOD1 GIlCoverWallEnd02Lod1
枪管手柄 BarrelHandle
MFaf导弹发射器背包 MFafMissileLauncherBackpack
TalkSad TalkSad
GHabs栅栏01LOD1 GHabsFence01Lod1
